
Timestamp,Username,Name,Followers,Following,Posts,Likes
2025-08-31T18:50:18.140167+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,473,4727,4355
2025-08-31T19:42:42.094927+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-31T19:42:42.278043+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4355
2025-08-31T20:43:40.113088+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-31T20:43:40.266996+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4355
2025-08-31T21:46:43.123570+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-31T21:46:43.327032+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4355
2025-08-31T22:41:57.099456+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-31T22:41:57.236088+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4355
2025-08-31T23:49:35.265356+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-31T23:49:35.433294+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,573,474,4727,4355
2025-09-01T00:41:36.175515+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T00:41:36.301132+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,573,474,4727,4355
2025-09-01T01:45:48.073160+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T01:45:48.214911+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,573,474,4727,4355
2025-09-01T02:42:50.979835+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T02:42:51.169328+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,573,474,4727,4355
2025-09-01T03:43:50.300268+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T03:43:50.432979+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,571,474,4727,4354
2025-09-01T04:43:30.289404+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T04:43:30.396659+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4354
2025-09-01T06:52:47.124616+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T06:52:47.289978+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4354
2025-09-01T08:48:08.341611+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T08:48:08.470782+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,573,474,4727,4354
2025-09-01T09:55:48.586281+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T09:55:48.792197+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,571,473,4727,4354
2025-09-01T10:46:15.863163+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T10:46:15.977361+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,571,473,4727,4355
2025-09-01T11:55:56.247378+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T11:55:56.406759+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,571,473,4727,4355
2025-09-01T12:46:39.386823+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-09-01T12:46:39.519910+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,571,473,4727,4355
